[
[0,0,0,0,0,0,0,1],
[1,0,0,0,0,0,0,1],
[0,1,0,0,0,0,0,1],
[0,0,1,0,0,0,0,1],
[0,0,0,1,0,0,0,1],
[0,0,0,0,1,0,0,1],
[1,0,0,0,1,0,0,1],
[0,1,0,0,1,0,0,1],
[0,0,1,0,1,0,0,1],
[0,0,0,1,1,0,0,1],
[0,0,0,0,0,1,0,1],
[1,0,0,0,0,1,0,1],
[0,1,0,0,0,1,0,1],
[0,0,1,0,0,1,0,1],
[0,0,0,1,0,1,0,1],
[0,0,0,0,0,0,1,1],
[1,0,0,0,0,0,1,1],
[0,1,0,0,0,0,1,1],
[0,0,1,0,0,0,1,1],
[0,0,0,1,0,0,1,1]
]

[
[0,1,2,4,3,5,6,7,9,8,10,11,12,14,13,15,16,17,19,18],
[0,1,3,2,4,5,6,8,7,9,10,11,13,12,14,15,16,18,17,19],
[0,2,1,3,4,5,7,6,8,9,10,12,11,13,14,15,17,16,18,19],
[1,0,2,3,4,6,5,7,8,9,11,10,12,13,14,16,15,17,18,19],
[0,1,2,3,4,5,6,7,8,9,15,16,17,18,19,10,11,12,13,14],
[0,1,2,3,4,10,11,12,13,14,5,6,7,8,9,15,16,17,18,19],
[5,6,7,8,9,0,1,2,3,4,10,11,12,13,14,15,16,17,18,19]
]
