[[1,1,0,0,0,17,7],
[1,0,1,0,0,7,17],
[1,0,0,1,0,-7,17],
[1,0,0,0,1,-17,7],
[1,1,0,0,0,-17,-7],
[1,0,1,0,0,-7,-17],
[1,0,0,1,0,7,-17],
[1,0,0,0,1,17,-7],
[1,-1,0,0,0,17,7],
[1,0,-1,0,0,7,17],
[1,0,0,-1,0,-7,17],
[1,0,0,0,-1,-17,7],
[1,-1,0,0,0,-17,-7],
[1,0,-1,0,0,-7,-17],
[1,0,0,-1,0,7,-17],
[1,0,0,0,-1,17,-7],
[1,0,0,0,0,0,0]]

[[8,1,2,3,12,5,6,7,0,9,10,11,4,13,14,15,16],
[0,9,2,3,4,13,6,7,8,1,10,11,12,5,14,15,16],
[0,1,10,3,4,5,14,7,8,9,2,11,12,13,6,15,16],
[0,1,2,11,4,5,6,15,8,9,10,3,12,13,14,7,16],
[3,2,1,0,7,6,5,4,11,10,9,8,15,14,13,12,16],
[7,6,5,4,3,2,1,0,15,14,13,12,11,10,9,8,16],
[2,3,4,5,6,7,0,1,10,11,12,13,14,15,8,9,16]]

{{0,1,3,4,6,7,16},
{1,3,4,5,6,7,16},
{0,1,4,5,6,7,16},
{0,1,2,3,4,6,16},
{0,1,2,3,6,7,16},
{1,2,3,4,5,6,16},
{0,1,11,4,14,15,16},
{1,11,4,5,14,15,16},
{0,1,4,5,14,15,16},
{0,1,10,11,4,14,16},
{0,1,10,11,14,15,16},
{1,10,11,4,5,14,16},
{8,9,3,12,6,7,16},
{9,3,12,13,6,7,16},
{8,9,12,13,6,7,16},
{8,9,2,3,12,6,16},
{8,9,2,3,6,7,16},
{9,2,3,12,13,6,16},
{8,9,11,12,14,15,16},
{9,11,12,13,14,15,16},
{8,9,12,13,14,15,16},
{8,9,10,11,12,14,16},
{8,9,10,11,14,15,16},
{9,10,11,12,13,14,16},
{1,2,4,5,6,15,16},
{1,2,11,4,5,15,16},
{2,11,4,5,6,15,16},
{0,1,2,4,6,15,16},
{0,1,4,5,6,15,16},
{0,1,2,11,4,15,16},
{9,2,12,13,6,15,16},
{9,2,11,12,13,15,16},
{2,11,12,13,6,15,16},
{8,9,2,12,6,15,16},
{8,9,12,13,6,15,16},
{8,9,2,11,12,15,16},
{9,10,12,13,14,7,16},
{9,10,3,12,13,7,16},
{10,3,12,13,14,7,16},
{8,9,10,12,14,7,16},
{8,9,12,13,14,7,16},
{8,9,10,3,12,7,16},
{1,10,4,5,14,7,16},
{1,10,3,4,5,7,16},
{10,3,4,5,14,7,16},
{0,1,10,4,14,7,16},
{0,1,4,5,14,7,16},
{0,1,10,3,4,7,16},
{0,9,2,3,13,6,16},
{0,9,3,13,6,7,16},
{0,9,2,3,6,7,16},
{0,2,3,4,13,6,16},
{0,9,2,3,4,13,16},
{0,3,4,13,6,7,16},
{8,1,2,3,5,6,16},
{8,1,3,5,6,7,16},
{8,1,2,3,6,7,16},
{8,2,3,12,5,6,16},
{8,1,2,3,12,5,16},
{8,3,12,5,6,7,16},
{8,1,10,11,5,14,16},
{8,1,11,5,14,15,16},
{8,1,10,11,14,15,16},
{8,10,11,12,5,14,16},
{8,1,10,11,12,5,16},
{8,11,12,5,14,15,16},
{0,9,10,11,13,14,16},
{0,9,11,13,14,15,16},
{0,9,10,11,14,15,16},
{0,10,11,4,13,14,16},
{0,9,10,11,4,13,16},
{0,11,4,13,14,15,16},
{0,2,11,4,13,15,16},
{0,2,4,13,6,15,16},
{2,11,4,13,6,15,16},
{0,9,2,11,13,15,16},
{0,9,2,11,4,13,16},
{0,9,2,13,6,15,16},
{0,10,3,4,13,7,16},
{0,10,4,13,14,7,16},
{10,3,4,13,14,7,16},
{0,9,10,3,13,7,16},
{0,9,10,3,4,13,16},
{0,9,10,13,14,7,16},
{8,10,3,12,5,7,16},
{8,10,12,5,14,7,16},
{10,3,12,5,14,7,16},
{8,1,10,3,5,7,16},
{8,1,10,3,12,5,16},
{8,1,10,5,14,7,16},
{8,2,11,12,5,15,16},
{8,2,12,5,6,15,16},
{2,11,12,5,6,15,16},
{8,1,2,11,5,15,16},
{8,1,2,11,12,5,16},
{8,1,2,5,6,15,16},

{2,3,4,9,11,13,16}
{0,7,8,9,10,14,16}
{5,6,7,12,13,14,16}
{0,1,2,6,7,8,16}
{3,5,7,12,13,14,16}
{4,5,6,11,12,13,16}
{1,5,6,7,8,15,16}
{2,4,6,11,12,13,16}
{0,7,9,13,14,15,16}
{1,2,8,10,11,12,16}
{2,3,4,5,11,12,16}
{0,1,9,10,11,15,16}
{0,6,7,8,9,15,16}
{1,3,7,8,9,10,16}
{0,1,7,8,14,15,16}
{0,4,6,13,14,15,16}
{5,6,11,12,13,15,16}
{0,1,2,3,4,10,16}
{6,7,8,9,13,15,16}
{0,1,5,6,7,15,16}
{6,7,8,12,13,14,16}
{2,3,9,10,11,12,16}
{4,5,11,13,14,15,16}
{5,6,7,8,14,15,16}
{0,1,3,7,9,10,16}
{0,4,5,6,7,14,16}
{0,2,4,9,10,11,16}
